ID,Tipo,SKU,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2"
45,variation,,"Camiseta Acinturada Bicicleta - XG, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,2,Tamanho,XG,,1,cor,Cinza,,1
47,variable,CORDELO.CMF.BR.0001-1,"Camiseta Acinturada Arte 2",1,0,visible,"Estampa: Impressão Digital\n\nAcabamento: Decote arredondado\n\nComposição:100% Algodão\n\n\n\nMEDIDAS (centímetros):\n\n\n\nP: altura: 62,5 | largura: 38,5 | ombro: 35,5\n\nM: altura: 65 | largura: 41 | ombro: 37\n\nG: altura: 67 | largura: 45,5 | ombro: 40\n\nGG: altura: 71 | largura: 48 | ombro: 39,5\n\n\n\n* Medidas aproximadas. Podem ocorrer pequenas variações.\n\n* Imagem meramente ilustrativa.","Estampa: Impressão Digital\n\nAcabamento: Decote arredondado\n\nComposição:100% Algodão\n\n\n\nMEDIDAS (centímetros):\n\n\n\nP: altura: 59 | largura: 45\n\nM: altura: 62 | largura: 47\n\nG: altura: 64 | largura: 51\n\nGG: altura: 67 | largura: 55\n\n\n\n* Medidas aproximadas. Podem ocorrer pequenas variações.\n\n* Imagem meramente ilustrativa.",,,taxable,,1,,,0,0,300,2,20,30,1,,,,"ROUPAS > CAMISETA RETA, ROUPAS","CAMISETA, CAMISETA ACINTURADA, CAMISETA BRANCA, PAULO FREIRE",,http://techup.com.br/icone/wp-content/uploads/2021/09/WhatsApp-Image-2021-09-16-at-13.52.20.jpeg,,,,,,,,,0,Tamanho,"G, GG, M, P, XG",1,1,cor,"Branco, Cinza",1,1
50,variation,,"Camiseta Acinturada Arte 2 - P, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,3,Tamanho,P,,1,cor,Cinza,,1
51,variation,,"Camiseta Acinturada Arte 2 - M, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,4,Tamanho,M,,1,cor,Cinza,,1
52,variation,,"Camiseta Acinturada Arte 2 - G, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,5,Tamanho,G,,1,cor,Cinza,,1
53,variation,,"Camiseta Acinturada Arte 2 - GG, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,6,Tamanho,GG,,1,cor,Cinza,,1
54,variation,,"Camiseta Acinturada Arte 2 - G, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,7,Tamanho,G,,1,cor,Branco,,1
55,variation,,"Camiseta Acinturada Arte 2 - GG, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,8,Tamanho,GG,,1,cor,Branco,,1
56,variation,,"Camiseta Acinturada Arte 2 - M, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,9,Tamanho,M,,1,cor,Branco,,1
57,variation,,"Camiseta Acinturada Arte 2 - P, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001-1,,,,,,10,Tamanho,P,,1,cor,Branco,,1
59,simple,CORDELO.AM.PR.0001,"ALMOFADA  ARTE 1",1,0,visible,,"Altura: 36 cm\n\nLargura: 36 cm\n\nProfundidade: 15 cm\n\nMaterial Externo: Tecido antialérgico\n\nMaterial Interno: Enchimento 100% Poliéster fibra siliconada, antifungos.\n\nFechamento: Zíper\n\nCor: Estampada\n\n*Imagem Meramente Ilustrativa",,,taxable,,1,50,,0,0,300,5,35,50,1,,,57,"CASA E DECORAÇÃO > ALMOFADAS, CASA E DECORAÇÃO",,,http://techup.com.br/icone/wp-content/uploads/2021/09/WhatsApp-Image-2021-09-16-at-13.52.22.jpeg,,,,,,,,,0,,,,,,,,
61,simple,CORDELO.AM.PR.0002,"ALMOFADA  ARTE 2",1,0,visible,,"Altura: 36 cm\n\nLargura: 36 cm\n\nProfundidade: 15 cm\n\nMaterial Externo: Tecido antialérgico\n\nMaterial Interno: Enchimento 100% Poliéster fibra siliconada, antifungos.\n\nFechamento: Zíper\n\nCor: Estampada\n\n*Imagem Meramente Ilustrativa",,,taxable,,1,50,,0,0,300,5,35,50,1,,,57,"CASA E DECORAÇÃO > ALMOFADAS, CASA E DECORAÇÃO",,,http://techup.com.br/icone/wp-content/uploads/2021/09/WhatsApp-Image-2021-09-16-at-13.52.23.jpeg,,,,,,,,,0,,,,,,,,
64,simple,CORDEL.CNC.BR.0001,"Caneca Branca - Cordel",1,0,visible,,"<h6>Caneca Cerâmica\n\n\n\nAltura: 9,5 cm\n\nLargura: 8 cm\n\nProfundidade: 8 cm\n\nCapacidade: 300ml\n\nMaterial: Porcelana\n\nCor: Branca\n\n*Imagem Meramente Ilustrativa</h6>",,,taxable,,1,100,,0,0,200,11.5,10,8,1,,,49.30,"CASA E DECORAÇÃO > CANECAS, CASA E DECORAÇÃO",caneca,,http://techup.com.br/icone/wp-content/uploads/2021/09/CanecaBranca-Cordelpng.png,,,,,,,,,0,,,,,,,,
